# SBOM Audit Trail
# Generated: 2026-04-20T14:08:54Z
# Input: /tmp/ubuntu-24.04.cdx.json
# Output: sbom_output.json

## Override

[2026-04-20T14:08:03Z] OVERRIDE component.version MODIFIED "24.04" -> "24.04" (source: cli/env)
[2026-04-20T14:08:04Z] OVERRIDE component.name MODIFIED "ubuntu" -> "Ubuntu 24.04 (container)" (source: cli/env)

## Augmentation

[2026-04-20T14:08:19Z] ENRICHMENT pkg:deb/ubuntu/libattr1@1:2.5.2-1build1.1?arch=arm64&distro=ubuntu-24.04&upstream=attr manufacturer ADDED (source: license-db)
[2026-04-20T14:08:19Z] ENRICHMENT pkg:deb/ubuntu/libattr1@1:2.5.2-1build1.1?arch=arm64&distro=ubuntu-24.04&upstream=attr supplier ADDED (source: license-db)
[2026-04-20T14:08:19Z] ENRICHMENT pkg:deb/ubuntu/libattr1@1:2.5.2-1build1.1?arch=arm64&distro=ubuntu-24.04&upstream=attr homepage ADDED (source: license-db)
[2026-04-20T14:08:19Z] ENRICHMENT pkg:deb/ubuntu/libaudit-common@1:3.1.2-2.1build1.1?arch=all&distro=ubuntu-24.04&upstream=audit description ADDED (source: license-db)
[2026-04-20T14:08:19Z] ENRICHMENT pkg:deb/ubuntu/libaudit-common@1:3.1.2-2.1build1.1?arch=all&distro=ubuntu-24.04&upstream=audit manufacturer ADDED (source: license-db)
[2026-04-20T14:08:19Z] ENRICHMENT pkg:deb/ubuntu/libaudit-common@1:3.1.2-2.1build1.1?arch=all&distro=ubuntu-24.04&upstream=audit supplier ADDED (source: license-db)
[2026-04-20T14:08:19Z] ENRICHMENT pkg:deb/ubuntu/libaudit-common@1:3.1.2-2.1build1.1?arch=all&distro=ubuntu-24.04&upstream=audit homepage ADDED (source: license-db)
[2026-04-20T14:08:19Z] ENRICHMENT pkg:deb/ubuntu/libaudit1@1:3.1.2-2.1build1.1?arch=arm64&distro=ubuntu-24.04&upstream=audit description ADDED (source: license-db)
[2026-04-20T14:08:19Z] ENRICHMENT pkg:deb/ubuntu/libaudit1@1:3.1.2-2.1build1.1?arch=arm64&distro=ubuntu-24.04&upstream=audit manufacturer ADDED (source: license-db)
[2026-04-20T14:08:19Z] ENRICHMENT pkg:deb/ubuntu/libaudit1@1:3.1.2-2.1build1.1?arch=arm64&distro=ubuntu-24.04&upstream=audit supplier ADDED (source: license-db)
[2026-04-20T14:08:19Z] ENRICHMENT pkg:deb/ubuntu/libaudit1@1:3.1.2-2.1build1.1?arch=arm64&distro=ubuntu-24.04&upstream=audit homepage ADDED (source: license-db)
[2026-04-20T14:08:20Z] ENRICHMENT pkg:deb/ubuntu/libblkid1@2.39.3-9ubuntu6.5?arch=arm64&distro=ubuntu-24.04&upstream=util-linux supplier ADDED (source: purl)
[2026-04-20T14:08:20Z] ENRICHMENT pkg:deb/ubuntu/libblkid1@2.39.3-9ubuntu6.5?arch=arm64&distro=ubuntu-24.04&upstream=util-linux homepage ADDED (source: purl)
[2026-04-20T14:08:20Z] ENRICHMENT pkg:deb/ubuntu/libbz2-1.0@1.0.8-5.1build0.1?arch=arm64&distro=ubuntu-24.04&upstream=bzip2 supplier ADDED (source: purl)
[2026-04-20T14:08:20Z] ENRICHMENT pkg:deb/ubuntu/libbz2-1.0@1.0.8-5.1build0.1?arch=arm64&distro=ubuntu-24.04&upstream=bzip2 homepage ADDED (source: purl)
[2026-04-20T14:08:21Z] ENRICHMENT pkg:deb/ubuntu/libc-bin@2.39-0ubuntu8.7?arch=arm64&distro=ubuntu-24.04&upstream=glibc supplier ADDED (source: purl)
[2026-04-20T14:08:21Z] ENRICHMENT pkg:deb/ubuntu/libc-bin@2.39-0ubuntu8.7?arch=arm64&distro=ubuntu-24.04&upstream=glibc homepage ADDED (source: purl)
[2026-04-20T14:08:22Z] ENRICHMENT pkg:deb/ubuntu/libc6@2.39-0ubuntu8.7?arch=arm64&distro=ubuntu-24.04&upstream=glibc supplier ADDED (source: purl)
[2026-04-20T14:08:22Z] ENRICHMENT pkg:deb/ubuntu/libc6@2.39-0ubuntu8.7?arch=arm64&distro=ubuntu-24.04&upstream=glibc homepage ADDED (source: purl)
[2026-04-20T14:08:22Z] ENRICHMENT pkg:deb/ubuntu/libcap-ng0@0.8.4-2build2?arch=arm64&distro=ubuntu-24.04&upstream=libcap-ng description ADDED (source: license-db)
[2026-04-20T14:08:22Z] ENRICHMENT pkg:deb/ubuntu/libcap-ng0@0.8.4-2build2?arch=arm64&distro=ubuntu-24.04&upstream=libcap-ng manufacturer ADDED (source: license-db)
[2026-04-20T14:08:22Z] ENRICHMENT pkg:deb/ubuntu/libcap-ng0@0.8.4-2build2?arch=arm64&distro=ubuntu-24.04&upstream=libcap-ng supplier ADDED (source: license-db)
[2026-04-20T14:08:22Z] ENRICHMENT pkg:deb/ubuntu/libcap-ng0@0.8.4-2build2?arch=arm64&distro=ubuntu-24.04&upstream=libcap-ng homepage ADDED (source: license-db)
[2026-04-20T14:08:22Z] ENRICHMENT pkg:deb/ubuntu/libcap2@1:2.66-5ubuntu2.2?arch=arm64&distro=ubuntu-24.04 description ADDED (source: license-db)
[2026-04-20T14:08:22Z] ENRICHMENT pkg:deb/ubuntu/libcap2@1:2.66-5ubuntu2.2?arch=arm64&distro=ubuntu-24.04 manufacturer ADDED (source: license-db)
[2026-04-20T14:08:22Z] ENRICHMENT pkg:deb/ubuntu/libcap2@1:2.66-5ubuntu2.2?arch=arm64&distro=ubuntu-24.04 supplier ADDED (source: license-db)
[2026-04-20T14:08:22Z] ENRICHMENT pkg:deb/ubuntu/libcap2@1:2.66-5ubuntu2.2?arch=arm64&distro=ubuntu-24.04 homepage ADDED (source: license-db)
[2026-04-20T14:08:22Z] ENRICHMENT pkg:deb/ubuntu/libcom-err2@1.47.0-2.4~exp1ubuntu4.1?arch=arm64&distro=ubuntu-24.04&upstream=e2fsprogs supplier ADDED (source: purl)
[2026-04-20T14:08:22Z] ENRICHMENT pkg:deb/ubuntu/libcom-err2@1.47.0-2.4~exp1ubuntu4.1?arch=arm64&distro=ubuntu-24.04&upstream=e2fsprogs homepage ADDED (source: purl)
[2026-04-20T14:08:23Z] ENRICHMENT pkg:deb/ubuntu/libcrypt1@1:4.4.36-4build1?arch=arm64&distro=ubuntu-24.04&upstream=libxcrypt supplier ADDED (source: purl)
[2026-04-20T14:08:23Z] ENRICHMENT pkg:deb/ubuntu/libcrypt1@1:4.4.36-4build1?arch=arm64&distro=ubuntu-24.04&upstream=libxcrypt homepage ADDED (source: purl)
[2026-04-20T14:08:24Z] ENRICHMENT pkg:deb/ubuntu/libdb5.3t64@5.3.28%2Bdfsg2-7?arch=arm64&distro=ubuntu-24.04&upstream=db5.3 supplier ADDED (source: purl)
[2026-04-20T14:08:24Z] ENRICHMENT pkg:deb/ubuntu/libdb5.3t64@5.3.28%2Bdfsg2-7?arch=arm64&distro=ubuntu-24.04&upstream=db5.3 homepage ADDED (source: purl)
[2026-04-20T14:08:24Z] ENRICHMENT pkg:deb/ubuntu/libdebconfclient0@0.271ubuntu3?arch=arm64&distro=ubuntu-24.04&upstream=cdebconf description ADDED (source: license-db)
